Nível;Espessura;MOA;OP-EQ;OP-AL;OP-CO;NOP-BIO;NOP-NOB;NOP-BIO;GP;ESPORO;PORTALITES;FUNGOS INDEFINIDOS;ACRITARCOS;PRASINÓFITAS;PALINOMORFOS INDEFINIDOS;;Vendas
4A;10;327;1;11;16;0;10;1;1;3;0;0;0;2;1;;327
3D;15;286;7;9;49;0;9;4;2;0;1;1;1;4;1;;286
3C;8;248;16;23;23;1;43;4;0;0;0;1;0;0;15;;248
3B;14;258;3;22;23;0;52;1;0;1;0;0;0;6;8;;258
3A;4,5;289;3;18;13;0;38;0;0;2;0;0;0;6;4;;289
2B;8;286;3;18;22;0;35;2;1;2;0;0;0;1;4;;286
2A;5,5;338;1;5;12;0;11;1;1;1;0;0;0;0;4;;338
1D;6;321;4;5;25;1;10;1;0;2;0;0;0;1;4;;321
1C;4;266;7;10;46;0;31;1;0;4;1;0;1;6;1;;266
1B;1,5;251;16;15;58;0;26;1;0;2;0;0;0;0;6;;251
1A;2,5;190;21;28;86;0;36;2;0;2;2;0;1;2;5;;190
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;0;;;;;;;;;;
