Nível;Espessura;TOC(%);TN(%);C/N(%);??13C (‰);??15N (‰);TS [wt%];U?auth [ppm];U/Th ;C?org/P ; Al/(Al + Fe + Mn) ;Fe/Ti ;K/Al ;Ti/Al ;Zr/Al ? 10?4 ; Zr/Rb ; Al?2O?3/TiO?2 ; Si/Al;Ba?(EF) ; Co?(EF) ; Sr?(EF);Th?(EF); U?(EF);V?(EF) ; Zr?(EF);Mo?(EF) ; Cu?(EF) ; Pb?(EF) ; Zn(EF) ; Ni?(EF) ;Cr?(EF) ;P?(EF) ;Si?(EF) ;Ti?(EF) ;K?(EF); Fe?(EF
4D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4A;10;11,36;0,43;26,42;-26,2;9,1;4,54;18,87;2,06;56,57;0,6;14,45;0,35;0,046;20,38;0,97;24,79;2,96;2,59;1,47;1,54;1;9,71;4,56;0,97;15,78;2,18;35,2;157,33;3,11;3,24;3,85;1,01;0,76;1,14;1,3
3D;15;11,59;0,46;25,2;-26,5;10,1;3,98;18,8;1,98;139,83;0,62;14,13;0,34;0,044;18,88;0,95;26,02;2,99;1,15;0,9;0,66;1,03;9,63;5,05;0,9;10,3;1,32;50,21;151,72;2,25;4,44;1,57;1,02;0,73;1,1;1,22
3C;8;11,13;0,44;25,3;-26,6;8,5;3,67;16,9;1,82;63,74;0,62;12,68;0,36;0,049;20,44;0,98;23,2;3,19;3,88;0,95;1,6;1,08;9,22;3,69;0,97;12,7;1,25;47,08;160,49;2,34;3,18;3,45;1,09;0,81;1,18;1,23
3B;14;11,61;0,43;27;-26,5;9;2,62;17,47;1,81;48,38;0,67;10;0,36;0,049;20,41;1,01;23,11;3,2;5,58;0,82;2,01;1,08;9,25;3,57;0,97;7,37;0,74;38,5;77,6;2,27;3,17;4,61;1,09;0,82;1,18;0,97
3A;4,5;11,89;0,54;22,02;-27;9,8;2,73;16,07;1,66;68,09;0,58;14,41;0,39;0,05;21,37;0,97;22,7;3,18;1,2;0,74;0,76;1,15;9;3,22;1,02;6,1;0,45;71,19;48,36;2,2;3,19;3,47;1,08;0,83;1,26;1,42
2D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2B;8;8,56;0,32;26,75;-26,2;8,8;1,73;12,8;1,35;109,01;0,65;11,46;0,39;0,046;18,7;0,85;24,61;3,15;1,49;0,76;0,64;1,09;6,9;2,79;0,89;4,28;0,25;30,93;21,15;1,84;1,88;1,42;1,07;0,77;1,26;1,04
2A;5,5;7,13;0,29;24,59;-26,6;9,4;1,96;12,07;1,28;33,33;0,62;13,18;0,39;0,047;19,63;0,91;24,02;3,26;1,43;0,85;0,59;1,12;6,78;2,71;0,94;4,77;0,13;31,99;9,99;2,26;1,93;3,95;1,11;0,79;1,28;1,23
1D;6;5,53;0,18;30,72;-25,9;10,1;1,72;9,23;1,11;70,34;0,64;10,88;0,39;0,05;18,38;0,87;22,5;3,75;0,82;1,17;0,63;1,1;5,77;2,24;0,88;8,53;0,17;29,37;20,37;3,51;1,35;1,52;1,28;0,84;1,28;1,08
1C;4;7,18;0,26;27,62;-26,5;10,5;1,24;10,8;1,17;102,84;0,68;9,57;0,4;0,049;18,91;0,88;23,27;3,38;0,8;1,05;0,65;1,12;6,18;2,19;0,9;8,5;0,09;21,94;14,36;3,12;1,5;1,27;1,15;0,81;1,29;0,92
1B;1,5;11,89;0,52;22,87;-27,7;14,8;1,71;13,8;1,51;143,38;0,65;10,56;0,38;0,052;22,61;1,09;21,93;3,56;0,85;1,19;0,76;1,13;8,06;2,2;1,08;13,42;0,24;38,89;26,95;4,52;2,46;1,68;1,21;0,86;1,24;1,08
1A;2,5;12,42;0,54;23;-27,1;17,4;1,49;13,57;1,48;177,81;0,67;9,15;0,38;0,054;26,54;1,3;20,83;3,66;0,86;1,06;0,78;1,16;8,13;2,13;1,26;15,41;0,57;33,38;61,76;4,6;2,51;1,44;1,24;0,91;1,24;0,99
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
